Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,055;64,188;0,308;515,808;0,2785;5,356;-0,261;4,326;32,327;31,861;89,214;0;0,854;3598,621;11,937;5,76;7,427;10,962;88,442;10,324;0,733;5,928;0,286;4,32;5698488,305;abrasive;1
4,298;77,79;0,166;517,026;0,2714;5,666;-0,261;4,76;33,069;44,721;45,321;179,2;0,827;3432,761;12,742;6,178;7,316;10,768;88,359;10,886;0,739;6,298;0,308;4,659;5698488,305;abrasive;1
4,394;74,021;0,286;608,073;0,3795;5,785;-0,219;4,498;35,166;38,855;110,92;178,6;1,007;4153,189;13,11;6,453;7,452;10,414;88,517;11,124;0,753;6,391;0,322;4,752;5698488,305;abrasive;1
4,367;80,643;0,176;572,081;0,3289;5,716;-0,23;4,45;39,89;40,753;55,147;0;0,936;3611,813;13,161;5,954;7,297;9,886;88,226;10,592;0,75;6,284;0,298;4,791;5698488,305;abrasive;1
4,616;262,96;0,182;587,5;0,3212;6,01;0,015;7,863;223,297;39,663;80,656;180;0,924;3253,534;14,206;6,44;7,074;9,972;89,121;11,456;0,742;6,76;0,322;5,07;5698488,305;abrasive;1
4,561;70,11;0,169;522,528;0,2481;5,943;-0,095;4,16;33,923;36,187;72,316;180;0,804;2819,448;13,76;6,853;7,017;9,76;88,128;11,588;0,742;6,566;0,343;5,037;5698488,305;abrasive;1
4,737;72,969;0,214;530,151;0,2585;6,098;-0,178;3,918;36,713;36,256;109,242;0,4;0,822;2899,124;14,665;6,203;7,115;8,951;88,202;11,232;0,772;6,773;0,31;5,297;5698488,305;abrasive;1
4,967;328,789;0,357;540,941;0,3019;9,045;13,001;347,712;280,746;48,043;41,814;0,5;0,896;2780,049;14,282;10,496;7,697;10,952;88,755;12,186;0,793;7,091;0,539;5,172;5698488,305;abrasive;1
4,128;78,017;0,342;539,308;0,3;5,556;-0,21;5,22;39,223;38,794;101,162;0;0,888;3757,094;11,805;6,565;7,657;11,578;88,167;10,916;0,754;6,025;0,328;4,331;5698488,305;abrasive;1
4,278;73,423;0,237;566,763;0,3533;5,648;-0,143;4,472;34,53;38,892;104,8;0;0,969;4197,688;12,605;6,429;7,134;11,229;88,432;11,132;0,729;6,343;0,32;4,604;5698488,305;abrasive;1
