Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,707;110,658;0,669;564,428;0,4030;7,413;2,720;22,870;73,580;37,078;127,902;179,600;1,016;5938,780;12,479;12,676;7,649;11,604;87,641;12,437;0,781;6,431;0,677;4,647;5698488,305;adhesive;3
5,945;166,888;0,648;530,574;0,3454;10,240;2,962;15,771;72,030;94,858;144,998;178,700;0,939;4772,307;13,403;25,879;7,344;12,855;88,834;38,112;0,752;7,481;1,515;4,982;5698488,305;adhesive;3
5,296;103,766;0,668;542,808;0,3692;8,457;2,666;15,941;65,531;38,235;116,043;178,800;0,975;5257,575;13,950;19,049;6,344;11,321;89,615;20,367;0,691;7,049;1,023;4,973;5698488,305;adhesive;3
9,223;110,820;0,295;421,950;0,2338;13,853;1,367;5,130;61,307;49,513;133,395;167,400;0,768;3531,785;16,049;42,301;11,488;15,812;84,884;40,658;1,166;23,769;1,002;8,853;5698488,305;adhesive;3
9,419;111,888;0,231;471,913;0,2761;13,106;0,885;4,064;58,663;53,225;200,956;0,000;0,837;4325,909;21,439;31,049;11,704;16,104;88,491;34,206;1,225;21,875;0,699;9,615;5698488,305;adhesive;3
6,320;108,339;0,660;497,983;0,3082;9,550;2,020;9,654;69,597;38,742;118,713;90,000;0,889;4388,172;16,092;23,030;6,186;12,916;90,716;32,066;0,701;9,116;1,286;5,830;5698488,305;adhesive;3
4,239;67,131;0,470;340,777;0,1291;5,546;-0,337;4,015;38,221;28,910;245,843;178,800;0,555;2988,122;12,644;5,391;7,701;10,012;87,901;10,131;0,791;6,034;0,270;4,554;5698488,305;adhesive;3
4,632;113,221;0,829;491,651;0,2957;7,370;3,220;27,460;75,296;37,925;104,011;179,000;0,863;5064,804;12,814;12,802;6,805;10,913;88,955;11,981;0,699;6,336;0,669;4,628;5698488,305;adhesive;3
5,543;133,593;0,783;563,211;0,4005;10,113;3,860;24,439;84,488;49,105;84,753;1,600;1,016;5127,947;13,162;24,400;6,532;11,803;88,868;21,686;0,696;6,890;1,362;4,812;5698488,305;adhesive;3
7,925;123,732;0,626;472,018;0,2733;13,031;2,475;10,752;86,619;37,113;247,545;109,100;0,833;4480,512;18,692;42,420;7,376;10,734;90,440;48,197;0,827;9,259;2,231;6,562;5698488,305;adhesive;3
14,570;125,534;0,375;536,809;0,3826;19,687;1,426;4,089;75,394;50,140;214,180;179,900;0,999;5054,251;26,248;56,597;5,829;19,979;94,283;57,101;0,807;36,133;1,073;13,657;5698488,305;adhesive;3
19,354;109,766;0,731;575,670;0,4361;21,771;0,420;1,896;59,926;49,841;256,186;90,300;1,067;4607,502;41,120;27,905;5,855;34,214;95,842;49,017;1,064;31,513;0,667;20,554;5698488,305;adhesive;3
8,977;103,339;0,727;549,300;0,3617;12,766;1,471;5,440;63,864;39,475;158,644;179,900;0,973;4047,130;20,791;32,123;6,876;15,396;90,185;39,221;0,873;16,998;1,471;8,482;5698488,305;adhesive;3
4,670;89,908;0,166;418,012;0,1744;6,588;1,448;10,885;57,333;32,574;221,297;0,000;0,656;3176,847;13,660;11,242;6,154;10,012;88,928;12,674;0,671;6,564;0,562;4,931;5698488,305;adhesive;3
4,925;138,590;0,407;550,733;0,3704;7,608;3,283;34,903;105,239;33,350;109,450;179,800;0,974;5357,478;13,656;11,483;7,549;11,712;88,446;12,681;0,781;7,004;0,608;5,017;5698488,305;adhesive;3
