Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,874;149,684;0,721;693,135;0,4901;7,128;1,355;21,47;87,308;62,375;76,14;176,5;1,144;4984,952;13,871;9,721;8,922;10,357;88,144;12,268;0,874;6,749;0,49;5,035;5698488,305;erosive;2
4,4;79,287;0,569;561,37;0,3499;5,873;-0,009;5,169;41,873;37,414;86,073;177,7;0,957;4680,67;13,039;7,096;7,672;10,737;89,091;11,462;0,749;6,393;0,357;4,676;5698488,305;erosive;2
4,534;104,867;0,67;695,847;0,5221;5,982;-0,09;4,682;51,494;53,373;73,348;1,6;1,186;5322,653;13,495;6,79;7,467;10,661;88,486;11,51;0,765;6,628;0,34;4,908;5698488,305;erosive;2
4,824;108,894;0,598;686,413;0,5116;6,323;-0,222;4,533;53,328;55,566;82,081;109,9;1,168;5258,982;14,383;6,743;7,941;10,032;87,775;11,796;0,826;6,943;0,337;5,302;5698488,305;erosive;2
4,717;87,138;0,726;673,656;0,4967;6,242;-0,218;4,749;39,23;47,908;82,563;0,1;1,153;5227,85;14,113;6,931;8,222;10,134;88,504;11,812;0,828;6,781;0,347;5,07;5698488,305;erosive;2
4,836;134,699;0,514;694,57;0,5136;6,437;-0,075;6,045;71,848;62,851;91,428;0,2;1,171;5338,658;14,393;6,992;8,467;10,191;88,234;11,789;0,856;6,949;0,349;5,211;5698488,305;erosive;2
4,897;109,379;0,381;614,009;0,3917;6,445;-0,277;4,538;38,91;70,469;187,94;120,6;1,015;4749,793;14,539;6,898;8,53;10,596;88,334;12,257;0,858;7,14;0,343;5,293;5698488,305;erosive;2
5,047;118,2;0,611;678,956;0,4941;6,813;-0,465;7,174;55,72;62,481;114,044;85,5;1,146;5219,232;14,73;7,091;9,276;10,583;87,814;12,158;0,928;7,224;0,354;5,409;5698488,305;erosive;2
4,644;140,171;0,458;698,871;0,5224;6,146;-0,386;5,223;38,618;101,553;112,388;180;1,184;5371,021;13,724;6,507;8,217;10,597;88,183;11,601;0,82;6,759;0,323;5,029;5698488,305;erosive;2
4,38;137,315;0,442;557,76;0,3259;6,151;1,298;18,695;90,152;47,163;90,35;0,1;0,926;4262,414;12,78;8,205;7,094;10,602;88,537;11,328;0,723;6,279;0,415;4,645;5698488,305;erosive;2
4,271;103,84;0,74;680,901;0,4946;5,664;0,256;6,754;57,59;46,25;56,705;55,7;1,147;5266,194;12,882;6,571;6,592;10,159;88,574;10,605;0,696;6,2;0,329;4,655;5698488,305;erosive;2
4,702;100,153;0,708;667,567;0,4621;6,322;0,011;5,947;57,334;42,819;70,893;84,9;1,114;4922,337;13,765;7,675;8,097;10,59;88,295;12,016;0,812;6,763;0,386;5,026;5698488,305;erosive;2
4,646;81,435;0,589;711,246;0,5375;6,063;-0,112;4,264;40,821;40,613;79,104;0;1,199;5458,788;13,84;6,741;7,266;10,346;87,891;11,637;0,768;6,77;0,337;5,116;5698488,305;erosive;2
4,67;134,371;0,512;639,842;0,435;6,361;0,473;11,206;82,491;51,88;76,683;50,9;1,074;4939,398;13,831;7,76;7,887;10,047;88,315;11,802;0,802;6,645;0,388;5,007;5698488,305;erosive;2
5,234;98,633;0,37;703,216;0,5342;6,827;-0,108;4,017;47,795;50,838;134,972;95,3;1,194;5390,193;15,452;7,344;8,256;11,396;87,961;13,226;0,879;7,845;0,361;5,719;5698488,305;erosive;2
4,893;99,22;0,63;637,046;0,433;6,451;0,027;5,492;54,083;45,137;104,245;180;1,069;4994,45;14,676;7,26;7,887;9,856;88,038;11,974;0,827;7,017;0,363;5,347;5698488,305;erosive;2
4,667;153,416;0,709;662,803;0,4655;6,255;-0,569;6,983;107,572;45,844;110,108;179,7;1,109;5163,476;13,644;6,115;8,944;9,354;87,11;10,569;0,895;6,43;0,305;5,049;5698488,305;erosive;2
4,583;93,744;0,651;703,984;0,5379;6,112;-0,42;5,693;48,256;45,488;117,606;90,2;1,198;5551,832;13,683;6,422;8,354;10,117;88,534;11,207;0,82;6,573;0,321;4,927;5698488,305;erosive;2
4,449;108,288;0,68;698,213;0,5314;6,017;0,486;8,005;62,21;46,079;65,383;0,2;1,195;5417,104;13,172;7,86;6,872;10,781;88,863;11,762;0,71;6,519;0,396;4,77;5698488,305;erosive;2
4,762;106,337;0,816;759,004;0,629;6,315;0,11;5,537;50,774;55,564;63,075;180;1,299;5857,697;14,168;7,381;7,606;10,8;88,566;12,065;0,789;6,997;0,37;5,146;5698488,305;erosive;2
4,608;101,458;0,372;635,765;0,4338;6,033;-0,189;4,461;43,185;58,273;92,018;180;1,072;5070,433;13,809;6,197;7,637;10,688;88,411;11,239;0,787;6,777;0,308;5,027;5698488,305;erosive;2
4,882;109,283;0,587;652,413;0,4552;6,589;0,126;6,913;59,199;50,083;91,448;105,5;1,1;5037,19;14,191;7,641;8,476;10,413;87,553;11,857;0,868;6,95;0,383;5,256;5698488,305;erosive;2
5,23;118,225;0,453;630,659;0,4333;6,876;0,108;4,62;47,527;70,698;313,969;104,6;1,07;5021,712;15,822;8,441;8,088;10,544;89,32;13,846;0,836;7,695;0,423;5,631;5698488,305;erosive;2
4,789;119,609;0,569;668,924;0,4844;6,281;-0,032;5,255;62,326;57,283;101,582;85,4;1,134;5346,046;14,529;6,916;7,521;9,914;88,496;11,721;0,789;6,94;0,346;5,255;5698488,305;erosive;2
4,683;145,575;0,5;689,429;0,5205;6,358;0,735;11,714;98,319;47,256;80,432;0,2;1,177;5355,016;13,843;8,009;7,311;10,698;88,631;11,849;0,764;6,791;0,404;5,02;5698488,305;erosive;2
4,462;91,273;0,484;688,479;0,5157;5,825;-0,015;4,463;52,348;38,924;116,166;0;1,172;5544,972;13,44;6,617;6,655;10,692;88,533;11,416;0,712;6,631;0,33;4,903;5698488,305;erosive;2
4,566;91,502;0,722;721,047;0,5717;5,986;-0,122;4,789;45,915;45,587;77,647;179,9;1,234;5713,823;13,719;6,575;7,206;10,435;88,358;11,499;0,756;6,697;0,328;5,004;5698488,305;erosive;2
