Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
3,353;55,581;0,145;141,105;0,07818;4,334;0,288;4,037;32,730;22,851;34,919;3,300;0,409;3033,852;10,271;5,359;4,192;11,521;90,282;9,243;0,468;5,164;0,268;3,655;5698488,305;abrasive;1
3,305;49,540;0,170;138,561;0,07275;4,246;0,283;3,764;27,390;22,151;38,517;0,500;0,392;3079,231;10,260;5,253;3,856;10,985;90,035;9,067;0,453;5,077;0,262;3,653;5698488,305;abrasive;1
3,082;50,017;0,133;131,599;0,06513;3,978;0,170;3,860;25,117;24,901;38,454;0,000;0,371;3107,021;9,398;4,747;3,945;11,117;89,231;8,285;0,446;4,697;0,236;3,414;5698488,305;abrasive;1
3,097;48,180;0,125;130,713;0,06449;3,985;0,160;4,012;26,733;21,447;40,358;1,100;0,369;3175,089;9,707;4,558;4,021;10,241;89,851;7,959;0,452;4,655;0,228;3,420;5698488,305;abrasive;1
3,094;62,654;0,168;133,099;0,06612;3,992;0,433;4,904;42,593;20,061;37,668;0,200;0,373;3153,982;9,542;4,860;3,586;11,251;89,996;8,340;0,418;4,763;0,243;3,431;5698488,305;abrasive;1
3,285;59,464;0,120;141,940;0,07468;4,244;0,222;4,163;31,069;28,395;37,193;3,500;0,398;3104,910;10,156;5,164;4,143;11,644;90,848;9,033;0,445;5,165;0,254;3,613;5698488,305;abrasive;1
3,200;64,722;0,119;140,373;0,07134;4,195;0,408;5,285;40,783;23,940;39,971;1,800;0,388;3191,446;9,639;5,338;4,247;12,017;90,163;8,889;0,458;4,965;0,266;3,447;5698488,305;abrasive;1
3,054;46,818;0,139;131,207;0,06274;3,917;0,120;3,663;27,636;19,181;41,074;179,700;0,363;3207,627;9,487;4,452;3,965;10,853;89,920;8,028;0,437;4,679;0,221;3,395;5698488,305;abrasive;1
3,097;56,192;0,118;130,222;0,06224;4,014;0,252;4,069;30,059;26,132;42,116;180,000;0,362;3189,687;9,385;4,893;4,017;11,458;89,299;8,300;0,452;4,763;0,242;3,400;5698488,305;abrasive;1
3,429;73,047;0,187;145,027;0,08193;4,485;0,441;4,728;36,060;36,987;37,266;0,000;0,419;3072,547;10,431;5,963;4,319;11,632;90,327;9,615;0,477;5,315;0,298;3,705;5698488,305;abrasive;1
3,176;54,538;0,194;138,098;0,07231;4,139;0,284;4,171;32,663;21,875;36,143;1,800;0,391;3053,727;9,587;5,368;4,090;11,440;89,486;8,995;0,457;4,863;0,268;3,462;5698488,305;abrasive;1
3,237;58,014;0,163;135,600;0,07169;4,162;0,105;3,905;29,334;28,680;36,527;2,700;0,390;3070,788;10,076;4,731;4,231;10,716;89,976;8,506;0,466;4,920;0,236;3,585;5698488,305;abrasive;1
3,101;47,988;0,160;129,801;0,06425;3,981;0,133;3,665;28,224;19,764;37,356;3,400;0,368;3090,312;9,521;4,442;4,086;11,083;89,169;8,055;0,463;4,738;0,219;3,429;5698488,305;abrasive;1
3,061;52,609;0,129;133,916;0,06540;3,963;0,136;4,029;25,432;27,177;39,361;0,200;0,372;3125,665;9,307;4,653;4,217;11,633;90,005;8,232;0,452;4,695;0,231;3,321;5698488,305;abrasive;1
2,865;51,719;0,202;127,434;0,05766;3,716;0,288;4,178;28,799;22,920;39,872;2,800;0,347;3245,970;8,703;4,649;3,586;11,695;89,956;7,874;0,400;4,436;0,231;3,139;5698488,305;abrasive;1
3,001;48,785;0,112;130,884;0,06175;3,892;0,266;4,056;26,377;22,408;38,909;2,400;0,360;3236,297;9,171;4,810;3,922;11,667;90,309;8,280;0,425;4,655;0,239;3,264;5698488,305;abrasive;1
2,837;52,923;0,130;127,845;0,05728;3,662;0,186;4,059;29,811;23,112;41,924;0,000;0,347;3287,655;8,663;4,381;3,573;11,826;90,173;7,812;0,396;4,418;0,217;3,115;5698488,305;abrasive;1
2,885;64,369;0,108;127,474;0,05737;3,709;0,359;3,951;40,380;23,989;41,310;1,300;0,347;3301,902;8,921;4,711;3,303;11,599;90,788;8,166;0,380;4,512;0,234;3,159;5698488,305;abrasive;1
3,934;69,709;0,152;156,287;0,09814;5,089;0,135;4,000;36,136;33,573;37,417;2,000;0,460;2947,317;11,985;5,987;5,281;11,561;89,862;10,516;0,575;6,058;0,296;4,294;5698488,305;abrasive;1
3,480;56,227;0,176;146,230;0,08098;4,504;0,192;3,995;31,909;24,318;40,130;1,100;0,415;3087,146;10,626;5,387;4,650;11,155;89,647;9,326;0,508;5,296;0,269;3,821;5698488,305;abrasive;1
3,388;58,085;0,172;145,444;0,07796;4,410;0,245;4,393;36,414;21,670;36,548;180,000;0,407;3140,263;10,401;5,400;4,722;11,136;90,278;9,228;0,497;5,159;0,270;3,669;5698488,305;abrasive;1
3,241;72,678;0,171;144,936;0,07664;4,272;0,538;5,186;48,131;24,548;37,188;1,900;0,403;3189,863;9,692;5,869;4,059;11,937;90,004;9,364;0,449;5,000;0,297;3,496;5698488,305;abrasive;1
3,197;44,552;0,126;140,797;0,07153;4,141;0,209;3,923;22,204;22,348;39,510;4,200;0,388;3203,054;9,741;5,105;4,219;11,429;89,892;8,746;0,462;4,910;0,254;3,486;5698488,305;abrasive;1
3,111;52,174;0,159;135,079;0,06527;4,097;0,177;4,736;31,391;20,783;41,013;2,000;0,370;3217,653;9,287;5,029;4,714;11,080;88,932;8,246;0,495;4,646;0,251;3,358;5698488,305;abrasive;1
