Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
6,358;140,041;0,578;158,470;0,1202;9,926;3,201;23,241;109,361;30,679;169,060;90,000;0,519;2558,082;15,120;20,024;5,584;16,496;91,534;24,119;0,632;10,556;1,110;5,862;5698488,305;adhesive;3
5,272;75,166;0,345;134,007;0,08155;7,720;1,781;8,898;47,407;27,759;137,424;90,000;0,417;2569,162;13,769;16,294;5,497;13,546;90,519;23,774;0,620;7,898;0,907;5,041;5698488,305;adhesive;3
4,711;102,233;0,440;144,725;0,09413;6,586;1,658;11,552;75,223;27,010;78,595;87,900;0,451;2546,649;13,156;11,303;4,914;13,769;91,078;15,930;0,563;7,393;0,604;4,773;5698488,305;adhesive;3
5,105;122,373;0,427;150,014;0,1056;7,777;2,997;24,776;86,224;36,149;114,374;90,000;0,481;2515,693;14,038;14,865;5,337;12,755;91,056;17,553;0,591;7,728;0,801;5,076;5698488,305;adhesive;3
4,438;67,153;0,156;142,752;0,09488;5,708;0,326;3,760;30,857;36,295;38,889;87,700;0,453;2550,694;13,624;7,211;5,023;11,845;90,322;12,468;0,593;6,977;0,357;4,865;5698488,305;adhesive;3
7,707;83,836;0,563;161,374;0,1071;10,211;1,267;4,709;55,688;28,148;142,583;90,000;0,480;2704,418;18,171;20,615;4,550;19,338;94,042;29,202;0,582;15,251;0,831;7,623;5698488,305;adhesive;3
6,884;86,582;0,198;149,256;0,1042;9,891;1,624;6,542;55,260;31,322;146,554;89,500;0,475;2518,155;16,433;22,789;5,648;15,676;91,114;32,556;0,667;11,245;1,264;6,403;5698488,305;adhesive;3
4,018;61,183;0,181;137,408;0,08622;5,273;0,409;4,265;34,332;26,851;36,920;86,700;0,432;2627,732;11,603;7,171;5,014;13,589;89,532;11,798;0,560;6,485;0,347;4,315;5698488,305;adhesive;3
7,998;71,011;0,420;164,006;0,1097;10,445;1,083;3,724;42,548;28,462;138,138;86,700;0,486;2659,392;18,007;21,571;4,878;20,718;92,835;28,648;0,627;17,051;0,622;8,081;5698488,305;adhesive;3
6,440;85,941;0,488;151,565;0,1027;8,733;1,135;5,105;53,926;32,015;146,702;87,000;0,471;2538,558;16,576;16,957;5,951;16,194;91,838;24,824;0,675;11,368;0,814;6,374;5698488,305;adhesive;3
4,477;60,249;0,159;145,715;0,09619;5,777;0,468;4,019;35,270;24,980;39,307;88,100;0,457;2520,090;13,738;7,637;4,864;12,118;91,141;12,962;0,570;7,077;0,380;4,866;5698488,305;adhesive;3
4,866;81,434;0,104;145,473;0,09811;6,311;0,572;4,832;54,967;26,468;42,393;88,200;0,462;2503,733;15,041;8,339;5,270;11,535;90,815;13,616;0,628;7,575;0,418;5,310;5698488,305;adhesive;3
4,323;68,591;0,163;142,863;0,09357;5,540;0,467;4,144;39,385;29,205;36,447;87,500;0,450;2509,361;13,694;7,069;4,438;11,366;91,884;12,058;0,528;6,840;0,350;4,761;5698488,305;adhesive;3
4,254;60,106;0,183;143,933;0,09316;5,479;0,580;3,994;30,625;29,481;38,319;90,000;0,449;2574,791;12,859;7,519;4,219;13,407;92,089;12,782;0,497;6,965;0,369;4,577;5698488,305;adhesive;3
9,282;72,183;0,571;175,676;0,1235;11,256;0,565;2,626;40,636;31,547;151,223;87,300;0,516;2661,502;27,190;13,578;3,958;17,936;95,786;26,117;0,695;16,351;0,533;10,331;5698488,305;adhesive;3
6,449;79,509;0,417;156,218;0,1046;8,699;1,214;4,980;50,170;29,339;171,741;87,800;0,475;2529,940;16,479;17,169;4,876;16,806;92,489;24,939;0,601;11,793;0,802;6,434;5698488,305;adhesive;3
4,748;107,805;0,241;145,602;0,09916;6,389;1,239;9,335;80,522;27,283;48,283;87,900;0,465;2479,988;13,500;9,907;4,939;14,362;91,457;15,016;0,560;7,740;0,502;4,944;5698488,305;adhesive;3
4,534;87,689;0,132;141,392;0,09180;5,905;0,435;4,480;52,168;35,521;42,227;88,000;0,446;2552,981;13,369;7,685;5,356;13,463;90,257;12,968;0,610;7,305;0,373;4,878;5698488,305;adhesive;3
4,620;90,121;0,191;145,061;0,09766;6,190;1,044;7,958;61,594;28,528;50,272;87,100;0,461;2513,055;13,873;8,908;5,045;12,102;90,708;13,050;0,591;7,159;0,457;4,948;5698488,305;adhesive;3
4,547;73,251;0,138;146,300;0,09728;5,865;0,446;4,122;42,784;30,467;40,480;86,900;0,460;2543,659;13,907;7,572;5,129;12,349;91,297;13,011;0,578;7,212;0,376;4,950;5698488,305;adhesive;3
4,205;69,957;0,234;141,520;0,09092;5,362;0,330;3,819;35,201;34,757;37,713;88,000;0,443;2595,369;13,152;6,286;4,761;11,824;91,539;11,326;0,537;6,616;0,312;4,631;5698488,305;adhesive;3
3,856;71,294;0,165;132,317;0,07719;5,111;0,689;5,093;44,969;26,325;42,114;89,600;0,408;2794,296;11,198;7,717;4,354;13,327;90,543;11,948;0,491;6,249;0,380;4,103;5698488,305;adhesive;3
7,910;75,473;0,718;164,938;0,1087;9,963;0,740;3,104;38,171;37,302;184,044;87,400;0,484;2689,644;21,483;15,306;4,782;18,784;93,825;24,943;0,669;15,125;0,534;8,527;5698488,305;adhesive;3
5,054;73,508;0,241;145,049;0,09488;6,967;1,207;6,844;45,650;27,859;72,177;88,400;0,452;2547,704;14,418;12,568;5,393;12,581;90,738;17,795;0,617;7,746;0,665;5,190;5698488,305;adhesive;3
4,538;69,481;0,153;144,894;0,09776;5,851;0,259;3,798;36,482;32,999;38,205;90,000;0,460;2487,375;13,881;7,156;5,604;11,443;89,663;12,446;0,638;7,026;0,355;5,006;5698488,305;adhesive;3
4,785;73,377;0,193;151,329;0,1050;6,164;0,589;4,265;46,068;27,310;43,547;87,500;0,480;2532,050;14,660;8,414;4,815;12,669;91,893;14,265;0,570;7,747;0,413;5,184;5698488,305;adhesive;3
