Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
2,678;42,791;0,943;170,461;0,08186;3,424;0,120;3,740;24,848;17,943;45,279;0,000;0,413;3804,056;8,417;3,777;3,422;10,353;89,934;6,841;0,384;4,056;0,188;2,984;5698488,305;erosive;2
2,707;46,257;0,881;164,652;0,07748;3,485;-0,061;4,067;20,532;25,725;45,986;151,800;0,402;3781,015;8,356;3,701;3,800;11,070;89,709;6,940;0,409;4,136;0,182;2,982;5698488,305;erosive;2
2,688;37,182;0,916;164,723;0,07703;3,408;0,102;3,364;18,235;18,946;45,900;166,200;0,400;3788,402;8,569;3,691;3,293;10,247;90,474;6,952;0,373;4,097;0,184;3,003;5698488,305;erosive;2
2,970;65,319;0,634;171,015;0,08433;4,122;-0,943;11,706;28,023;37,296;56,554;136,000;0,420;3731,591;8,865;4,670;5,696;10,846;89,987;7,795;0,514;4,357;0,233;3,124;5698488,305;erosive;2
2,697;37,661;0,882;162,832;0,07522;3,456;0,056;3,656;19,910;17,752;46,651;102,700;0,396;3772,396;8,395;3,827;3,554;10,443;89,524;6,948;0,395;4,079;0,191;3,006;5698488,305;erosive;2
2,714;48,742;0,892;168,695;0,08038;3,505;0,038;3,972;29,175;19,567;45,583;114,900;0,409;3817,247;8,356;3,912;3,841;11,041;89,835;7,096;0,407;4,137;0,194;2,981;5698488,305;erosive;2
2,795;58,648;0,891;167,827;0,08037;3,610;0,001;4,110;39,084;19,564;46,477;113,000;0,409;3765,185;8,573;3,916;3,985;11,153;89,642;7,233;0,423;4,261;0,194;3,076;5698488,305;erosive;2
2,900;43,378;0,965;171,305;0,08468;3,734;0,045;3,747;23,625;19,754;48,663;90,000;0,420;3778,904;8,906;4,116;4,030;11,249;89,722;7,532;0,433;4,456;0,202;3,194;5698488,305;erosive;2
2,900;41,396;0,857;172,080;0,08513;3,728;-0,081;3,803;20,485;20,912;44,053;90,800;0,422;3774,859;9,037;3,893;4,230;10,194;89,540;7,267;0,449;4,334;0,194;3,205;5698488,305;erosive;2
2,727;54,189;0,936;166,439;0,07902;3,515;0,104;3,987;35,038;19,150;47,009;134,300;0,406;3813,026;8,491;4,016;3,730;10,622;90,156;7,146;0,399;4,131;0,200;3,001;5698488,305;erosive;2
2,735;38,888;0,891;165,622;0,07761;3,490;0,005;3,511;22,031;16,858;46,575;145,900;0,402;3806,518;8,617;3,686;3,661;10,088;89,732;6,915;0,408;4,104;0,184;3,036;5698488,305;erosive;2
2,911;40,942;0,946;171,462;0,08302;3,712;0,122;3,577;25,029;15,913;49,073;5,100;0,416;3759,381;9,144;4,059;3,652;10,438;89,786;7,442;0,418;4,416;0,203;3,245;5698488,305;erosive;2
2,828;45,085;0,898;167,445;0,07994;3,572;0,123;3,331;22,253;22,832;45,566;68,200;0,408;3775,386;8,973;3,706;3,304;10,700;90,234;7,219;0,389;4,364;0,183;3,176;5698488,305;erosive;2
2,799;39,699;0,893;169,019;0,08123;3,591;0,164;3,802;22,674;17,025;46,640;105,200;0,411;3802,297;8,738;4,153;3,551;10,719;90,115;7,368;0,397;4,268;0,207;3,094;5698488,305;erosive;2
2,776;48,678;0,910;170,832;0,08227;3,543;0,060;3,688;24,519;24,159;46,741;0,000;0,414;3777,849;8,796;3,867;3,606;10,261;90,393;7,120;0,399;4,206;0,193;3,074;5698488,305;erosive;2
2,926;74,252;0,892;172,177;0,08491;3,755;0,005;3,889;53,360;20,891;47,083;159,400;0,422;3789,809;9,027;3,985;4,030;10,873;89,370;7,448;0,441;4,451;0,197;3,247;5698488,305;erosive;2
2,905;59,917;0,875;169,104;0,08192;3,744;-0,041;3,717;37,645;22,272;46,590;167,000;0,414;3756,215;8,851;4,009;4,188;11,146;89,128;7,433;0,452;4,411;0,198;3,196;5698488,305;erosive;2
2,945;47,789;0,849;170,535;0,08404;3,812;-0,006;3,977;23,621;24,168;45,317;90,200;0,419;3742,144;9,029;4,315;4,210;10,650;89,350;7,638;0,451;4,421;0,215;3,241;5698488,305;erosive;2
2,765;51,669;0,939;162,675;0,07550;3,549;0,040;3,777;24,411;27,258;48,452;52,300;0,396;3777,849;8,519;3,982;3,627;10,775;89,294;7,212;0,402;4,210;0,197;3,089;5698488,305;erosive;2
2,727;36,109;0,978;165,851;0,07779;3,461;0,098;3,394;18,715;17,394;50,013;180,000;0,402;3808,629;8,622;3,709;3,336;10,405;90,021;6,957;0,383;4,167;0,185;3,058;5698488,305;erosive;2
2,809;43,931;0,961;164,649;0,07659;3,555;-0,002;3,422;23,158;20,773;49,804;17,400;0,399;3798,076;9,000;3,572;3,529;10,047;90,291;7,016;0,400;4,274;0,178;3,150;5698488,305;erosive;2
2,838;43,564;0,950;164,221;0,07671;3,599;0,037;3,326;25,684;17,880;49,421;133,700;0,399;3772,045;9,002;3,723;3,645;10,520;90,262;7,224;0,408;4,350;0,185;3,159;5698488,305;erosive;2
2,819;40,213;0,871;166,302;0,07842;3,597;0,025;3,630;22,373;17,840;48,193;111,500;0,404;3781,542;8,862;3,783;3,676;10,198;89,560;7,086;0,414;4,251;0,189;3,151;5698488,305;erosive;2
2,867;43,233;0,974;167,254;0,07978;3,663;-0,015;3,596;21,050;22,183;50,598;130,100;0,408;3768,351;8,983;3,865;3,853;10,453;89,768;7,313;0,424;4,351;0,192;3,188;5698488,305;erosive;2
2,889;46,801;0,902;167,270;0,08006;3,699;0,128;3,701;25,187;21,615;48,752;138,700;0,408;3758,501;9,044;4,167;3,695;10,655;90,071;7,551;0,413;4,402;0,208;3,199;5698488,305;erosive;2
3,002;50,325;0,899;170,519;0,08342;3,877;0,056;4,138;29,298;21,026;48,730;129,200;0,417;3732,646;9,298;4,253;4,186;10,247;89,213;7,505;0,457;4,485;0,212;3,328;5698488,305;erosive;2
3,110;49,553;0,873;168,878;0,08281;4,035;0,004;4,329;25,636;23,917;50,245;153,800;0,416;3689,027;9,629;4,546;4,429;10,153;89,394;7,911;0,477;4,617;0,227;3,426;5698488,305;erosive;2
