Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
13,817;133,824;0,132;218,882;0,1709;17,433;0,174;3,115;80,343;53,481;99,276;6,400;0,613;3157,324;42,567;19,321;16,499;11,755;90,283;37,015;1,903;21,495;0,934;15,238;5698488,305;abrasive;1
12,828;128,297;0,236;196,347;0,1250;16,565;0,066;3,467;62,839;65,458;178,231;13,600;0,516;3330,044;37,392;18,568;16,986;13,616;88,362;33,036;1,901;21,062;0,814;14,316;5698488,305;abrasive;1
15,264;131,232;0,151;241,833;0,2139;18,912;0,103;2,802;68,569;62,663;81,747;11,600;0,692;3189,159;49,334;18,447;17,699;11,067;92,117;39,606;1,965;23,786;0,903;16,853;5698488,305;abrasive;1
11,881;135,343;0,158;228,245;0,1805;15,623;0,651;4,418;78,780;56,563;77,840;12,100;0,634;3359,944;34,500;23,414;13,647;14,250;91,731;36,499;1,439;20,136;1,100;12,594;5698488,305;abrasive;1
15,565;150,332;0,082;245,980;0,2350;19,725;-0,058;3,157;87,402;62,930;75,866;9,600;0,733;3141,846;44,568;19,767;21,153;9,559;83,448;34,612;2,401;21,951;0,992;18,574;5698488,305;abrasive;1
14,702;176,426;0,615;202,681;0,1432;20,052;0,340;5,136;97,108;79,318;188,347;0,400;0,557;3381,227;38,515;29,312;22,401;13,122;85,309;40,630;2,324;22,848;1,417;16,155;5698488,305;abrasive;1
17,375;520,697;0,418;261,955;0,3392;24,488;1,442;15,617;435,044;85,653;85,448;10,200;0,944;3069,733;49,959;36,405;28,418;11,028;89,727;46,751;2,561;25,358;1,862;18,450;5698488,305;abrasive;1
14,318;235,766;0,510;209,376;0,1521;18,139;0,098;3,574;171,634;64,132;198,863;180,000;0,579;3284,841;44,979;18,304;18,159;10,688;89,847;36,249;2,099;21,706;0,914;15,864;5698488,305;abrasive;1
10,881;120,129;0,367;188,574;0,1183;14,384;-0,196;4,408;52,762;67,366;148,639;0,000;0,504;3423,439;31,436;15,431;20,141;13,711;90,047;28,954;1,836;16,967;0,735;11,389;5698488,305;abrasive;1
13,740;117,588;0,266;184,339;0,1265;17,079;-0,142;2,816;54,161;63,426;133,825;165,500;0,520;3155,038;42,561;14,786;16,536;8,576;86,478;31,026;1,942;19,871;0,762;16,365;5698488,305;abrasive;1
13,567;127,745;0,585;171,545;0,1033;17,119;0,149;3,103;71,926;55,819;245,145;0,000;0,469;3497,135;43,313;19,615;15,255;9,669;89,771;35,800;1,866;20,287;0,983;15,272;5698488,305;abrasive;1
18,456;147,068;0,294;228,532;0,1834;23,514;0,152;3,141;78,997;68,070;189,829;0,000;0,635;3153,455;56,963;28,076;22,537;11,192;89,528;50,290;2,702;28,517;1,371;20,191;5698488,305;abrasive;1
12,956;181,561;0,233;213,789;0,1480;16,075;0,078;2,958;64,524;117,037;152,764;168,500;0,566;3359,769;42,234;15,720;15,176;10,928;92,546;33,434;1,674;20,420;0,762;14,290;5698488,305;abrasive;1
