Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
41,412;685,340;0,328;176,547;0,4570;56,240;0,484;6,263;503,669;181,670;253,446;70,500;1,083;2812,060;119,573;75,383;76,081;12,400;90,132;109,650;6,836;62,445;3,734;41,314;5698488,305;adhesive;3
100,229;1005,277;0,230;344,574;1,301;126,472;0,539;3,826;515,934;489,343;239,122;90,000;1,948;1130,241;340,130;181,938;86,935;8,733;95,413;292,390;9,295;151,417;9,005;115,474;5698488,305;adhesive;3
28,531;562,129;0,255;195,183;0,5071;41,939;1,573;10,336;419,859;142,270;161,375;52,200;1,119;3280,972;63,306;75,731;56,651;18,647;90,779;104,990;4,123;46,295;4,195;25,316;5698488,305;adhesive;3
43,976;1252,248;0,610;170,881;2,043;75,551;0,660;11,407;796,980;455,268;219,019;90,000;2,576;2763,516;71,996;152,878;124,655;17,371;84,907;179,137;11,006;68,861;8,112;33,667;5698488,305;adhesive;3
62,472;556,305;0,527;212,895;0,4445;87,454;1,177;4,860;330,883;225,422;322,020;90,000;1,111;2746,983;132,066;180,823;62,052;18,922;85,664;263,193;7,813;114,776;8,900;59,885;5698488,305;adhesive;3
26,599;299,856;0,149;190,712;0,2414;38,469;0,693;6,177;173,353;126,503;159,895;180,000;0,810;3629,225;65,702;90,919;48,923;8,854;83,505;110,327;5,081;29,620;4,401;26,340;5698488,305;adhesive;3
52,849;443,821;0,436;241,223;0,4540;72,380;-0,106;3,743;242,695;201,126;275,354;90,000;1,133;2638,461;122,298;93,387;110,494;16,785;83,719;150,714;11,323;83,596;4,056;54,564;5698488,305;adhesive;3
27,787;334,133;0,155;183,791;0,2275;38,512;-1,470;10,276;103,110;231,023;177,455;180,000;0,759;3413,238;82,507;30,173;96,959;13,527;94,343;68,688;4,591;41,869;1,460;29,096;5698488,305;adhesive;3
14,937;233,039;0,617;156,618;0,1252;22,091;-1,382;7,242;103,735;129,304;192,381;179,800;0,531;3653,498;33,667;18,601;47,791;10,399;83,275;26,857;4,594;16,961;0,931;13,797;5698488,305;adhesive;3
57,183;427,867;0,409;237,802;0,5116;70,572;0,473;2,755;219,771;208,096;317,053;90,000;1,161;2699,845;183,194;80,436;37,608;13,694;94,098;156,950;5,316;97,955;3,632;63,765;5698488,305;adhesive;3
46,557;989,202;0,348;200,450;0,8755;69,167;2,039;12,052;794,819;194,384;224,044;0,000;1,794;3075,713;118,238;154,307;48,242;14,130;92,690;185,544;4,116;82,261;7,474;47,701;5698488,305;adhesive;3
