Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
18,924;277,079;0,162;164,264;0,1169;27,952;-1,766;10,722;91,740;185,339;168,286;90,000;0,501;2802,563;50,341;23,222;60,080;14,655;89,943;45,618;4,349;28,101;1,032;18,575;5698488,305;erosive;2
11,776;130,058;0,663;174,820;0,1179;15,053;0,109;3,581;75,220;54,838;128,961;36,900;0,501;2957,342;37,008;17,252;14,983;9,351;88,960;29,969;1,762;17,191;0,860;13,112;5698488,305;erosive;2
16,236;289,758;0,251;178,692;0,1390;24,109;-2,411;19,219;66,901;222,858;121,276;90,000;0,551;2713,740;46,682;20,023;44,368;12,730;90,812;39,634;3,255;24,632;0,909;16,661;5698488,305;erosive;2
11,482;122,236;0,727;184,562;0,1329;14,657;-0,102;3,395;66,472;55,764;117,309;30,000;0,533;2876,435;35,091;14,486;16,637;9,561;87,730;26,982;1,815;16,691;0,725;13,046;5698488,305;erosive;2
14,329;140,221;0,613;178,048;0,1332;18,108;0,109;3,216;79,921;60,300;144,917;30,000;0,535;2728,515;45,896;19,520;17,519;9,605;89,976;35,955;2,045;21,405;0,977;16,005;5698488,305;erosive;2
12,065;126,516;0,597;171,122;0,1138;15,279;-0,225;3,116;60,499;66,017;142,321;20,200;0,492;2873,445;35,803;13,697;17,548;9,686;86,084;27,549;1,897;17,409;0,689;14,117;5698488,305;erosive;2
16,080;137,396;0,643;167,934;0,1196;20,075;0,298;2,982;72,316;65,080;171,444;0,200;0,504;2612,078;52,603;23,297;14,451;10,673;92,391;43,443;1,852;25,487;1,149;18,149;5698488,305;erosive;2
13,005;135,935;0,733;171,531;0,1114;16,672;-0,239;3,461;70,018;65,917;206,857;0,200;0,485;2941,688;39,902;16,020;21,087;8,915;87,831;29,687;2,244;18,353;0,810;14,445;5698488,305;erosive;2
45,631;490,443;0,161;284,539;0,3500;59,761;0,466;4,261;259,926;230,517;277,071;149,200;0,909;2744,169;117,196;82,782;67,415;19,225;91,615;136,969;5,978;77,580;3,655;46,007;5698488,305;erosive;2
13,987;140,600;0,709;212,031;0,1794;19,616;-1,634;5,872;41,410;99,189;161,126;44,500;0,627;3161,369;28,458;9,186;46,303;7,722;80,277;19,701;4,623;13,687;0,478;13,085;5698488,305;erosive;2
15,139;168,395;0,680;217,799;0,1968;20,250;-1,104;5,712;63,830;104,565;125,906;35,400;0,657;2849,700;42,789;13,853;33,935;7,418;85,511;28,601;3,278;19,263;0,706;16,515;5698488,305;erosive;2
11,365;194,205;0,900;208,780;0,1608;15,907;-1,414;7,938;62,772;131,432;137,039;15,800;0,590;3318,084;27,644;11,986;29,922;9,113;82,519;20,359;2,968;13,512;0,598;11,704;5698488,305;erosive;2
18,305;165,574;0,712;232,040;0,2190;22,809;-0,687;3,152;73,644;91,930;159,182;26,100;0,698;3013,098;50,001;12,727;32,989;5,192;81,061;29,153;3,389;22,562;0,635;21,952;5698488,305;erosive;2
16,110;129,204;0,694;216,230;0,1699;20,450;-0,915;3,702;45,990;83,214;267,010;180,000;0,606;3197,074;44,761;8,035;32,012;4,870;82,302;25,243;3,303;19,626;0,473;18,782;5698488,305;erosive;2
11,624;145,620;0,748;202,996;0,1551;15,693;-1,156;5,114;53,767;91,853;145,412;180,000;0,579;3197,954;29,085;10,329;29,302;8,128;82,214;20,545;2,955;13,752;0,523;12,337;5698488,305;erosive;2
22,305;190,136;0,619;230,460;0,1985;28,255;-0,075;3,207;95,984;94,152;303,637;90,000;0,660;2954,352;64,394;31,514;30,979;9,628;85,753;54,895;3,258;31,786;1,581;25,759;5698488,305;erosive;2
12,419;137,679;0,148;167,991;0,1067;16,376;-0,622;4,542;54,433;83,246;254,206;32,300;0,476;3151,520;36,054;14,541;23,862;10,161;86,891;28,448;2,375;17,628;0,725;13,593;5698488,305;erosive;2
9,729;105,646;0,626;142,161;0,07399;12,405;-0,527;3,556;39,916;65,731;231,707;36,700;0,393;3158,204;29,725;10,014;16,623;6,915;86,326;20,486;1,814;12,956;0,494;10,942;5698488,305;erosive;2
10,474;138,257;0,591;150,115;0,08050;13,366;-0,269;3,932;70,095;68,161;304,220;90,000;0,410;3151,520;32,362;12,631;16,089;7,193;86,919;21,800;1,789;14,185;0,613;11,795;5698488,305;erosive;2
8,213;98,204;0,330;133,926;0,06196;10,532;-0,450;3,683;55,080;43,124;215,510;89,800;0,359;3288,887;24,183;8,248;14,755;7,030;84,899;15,741;1,598;10,717;0,409;9,284;5698488,305;erosive;2
9,054;120,137;0,305;126,454;0,05246;11,208;0,165;3,440;59,201;60,936;315,933;90,000;0,329;3394,770;31,250;12,355;8,821;7,171;92,444;21,572;1,146;12,911;0,615;10,121;5698488,305;erosive;2
11,420;145,395;0,666;193,153;0,1431;15,802;-0,680;5,433;68,631;76,764;126,571;25,300;0,556;3277,630;31,614;18,277;28,661;7,942;86,404;25,146;2,737;14,026;0,852;11,361;5698488,305;erosive;2
9,492;90,623;0,382;141,019;0,06673;11,995;-0,108;3,205;41,811;48,812;273,436;130,900;0,372;3387,031;30,344;11,914;12,700;9,122;89,420;23,307;1,420;13,939;0,608;10,693;5698488,305;erosive;2
9,411;93,981;0,845;144,293;0,07097;12,002;-0,192;3,379;39,721;54,260;272,565;180,000;0,384;3277,102;29,093;10,710;14,620;12,216;90,204;22,925;1,479;14,995;0,482;10,343;5698488,305;erosive;2
11,936;217,756;0,451;135,182;0,06382;17,156;-1,850;13,576;70,546;147,210;247,073;90,000;0,364;3228,558;36,355;15,259;31,395;6,820;89,641;24,480;2,606;15,284;0,707;12,203;5698488,305;erosive;2
22,234;200,283;0,484;170,094;0,1199;27,999;-0,225;3,059;109,262;91,022;283,086;180,000;0,506;2669,769;69,268;22,461;32,758;8,803;87,429;47,922;3,720;31,954;1,158;25,053;5698488,305;erosive;2
23,081;251,737;0,152;165,485;0,1167;29,574;0,011;4,362;147,418;104,319;261,910;90,000;0,500;2679,091;64,225;37,652;35,165;6,456;82,584;44,467;3,715;29,279;1,580;26,969;5698488,305;erosive;2
14,272;157,726;0,201;170,149;0,09319;18,024;-0,115;3,128;91,163;66,564;277,683;180,000;0,443;3339,542;45,045;15,970;20,111;10,276;89,546;33,620;2,223;21,539;0,790;15,900;5698488,305;erosive;2
17,653;166,388;0,160;170,433;0,09682;22,553;-0,226;3,409;85,542;80,846;222,781;180,000;0,452;3305,068;51,035;23,330;27,708;8,629;84,999;40,199;3,052;24,052;1,145;19,902;5698488,305;erosive;2
17,422;193,074;0,567;157,281;0,09294;23,025;0,183;4,286;121,145;71,929;227,436;180,000;0,443;3067,271;48,396;26,089;27,753;12,685;86,064;42,468;2,950;25,935;1,329;19,314;5698488,305;erosive;2
12,517;168,769;0,863;181,326;0,1244;16,630;0,071;4,586;99,598;69,171;179,939;56,300;0,518;3155,038;37,349;20,868;21,203;10,136;88,365;32,273;2,224;17,932;1,043;13,155;5698488,305;erosive;2
17,101;146,475;0,493;179,127;0,1223;21,604;-0,052;3,046;65,353;81,122;260,290;90,200;0,510;2928,497;52,950;22,138;22,104;10,074;88,584;43,738;2,480;25,609;1,108;19,553;5698488,305;erosive;2
11,094;89,743;0,835;190,469;0,1083;13,738;0,030;2,653;47,119;42,624;236,508;90,000;0,478;3452,460;35,404;12,162;11,412;10,123;89,125;26,417;1,423;17,140;0,606;13,074;5698488,305;erosive;2
8,410;102,717;0,837;194,101;0,1093;10,836;-0,886;5,154;38,285;64,432;202,167;180,000;0,480;3663,171;26,497;6,251;15,190;6,440;87,932;16,335;1,522;11,394;0,342;9,557;5698488,305;erosive;2
8,751;106,155;0,303;165,934;0,08658;11,315;-0,007;3,891;52,320;53,834;185,110;53,300;0,427;3585,078;26,979;12,781;12,825;11,014;90,172;22,925;1,313;13,361;0,631;9,582;5698488,305;erosive;2
17,526;307,708;0,573;199,932;0,1698;25,176;0,824;9,683;180,208;127,499;184,467;160,500;0,620;3166,470;46,944;37,349;31,506;12,215;87,460;48,345;3,117;24,494;2,002;17,773;5698488,305;erosive;2
17,648;310,043;0,416;324,437;0,3093;22,909;0,171;4,528;217,047;92,997;196,821;0,000;0,853;3766,944;55,203;29,401;24,898;8,982;88,763;46,261;2,795;24,963;1,490;19,190;5698488,305;erosive;2
11,213;109,866;0,602;215,991;0,1365;14,202;0,404;3,244;59,918;49,948;200,551;180,000;0,539;3585,782;34,548;18,128;10,317;12,416;91,124;32,515;1,346;17,963;0,888;12,376;5698488,305;erosive;2
8,983;153,898;0,637;227,281;0,1493;11,487;-0,227;4,070;104,134;49,763;184,832;90,200;0,569;3665,458;28,702;10,174;14,192;8,419;89,380;20,603;1,477;12,863;0,521;10,015;5698488,305;erosive;2
10,617;140,473;0,187;179,695;0,1040;13,783;-0,066;3,917;60,753;79,720;193,466;90,000;0,470;3460,023;32,369;15,620;16,306;11,426;90,003;28,543;1,677;16,266;0,764;11,380;5698488,305;erosive;2
12,779;139,452;0,461;169,550;0,09436;16,673;0,658;4,338;86,438;53,014;178,904;171,800;0,445;3419,218;37,739;22,808;13,611;13,987;91,056;39,368;1,595;20,594;1,173;13,626;5698488,305;erosive;2
9,591;110,776;0,626;220,247;0,1403;12,260;-0,278;3,772;45,200;65,576;222,281;180,000;0,547;3652,091;30,157;11,438;14,255;9,239;89,018;23,143;1,518;14,013;0,576;10,813;5698488,305;erosive;2
10,830;191,824;0,694;225,070;0,1693;14,063;0,270;4,666;132,582;59,242;209,523;30,400;0,617;3511,030;32,331;16,636;13,947;12,319;89,387;29,144;1,555;16,879;0,815;11,888;5698488,305;erosive;2
24,938;732,558;0,101;356,911;0,9126;40,600;3,456;31,062;591,096;141,462;173,760;32,000;1,701;2369,356;53,793;96,271;40,793;6,889;76,360;40,433;3,841;26,852;3,657;27,369;5698488,305;erosive;2
